"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1965","K02616",578,493,1020,796,496,735,1521,1111,1334,1131,1296,856,787,857,605,741
"1966","K02617",1968,1794,1994,2020,2471,1958,3219,2941,3015,3290,3162,2556,2077,2330,2400,1944
"1967","K02618",174,285,935,230,325,953,2295,2161,2224,2660,2776,1168,892,1030,1068,908
"1968","K02619",401,407,784,531,602,779,1384,1250,1431,1481,1255,682,555,751,710,674
"1969","K02621",4025,3627,4561,4687,4211,5170,7359,7576,7118,8225,7716,7564,6395,7666,7063,7254
"1970","K02622",2777,2659,3927,3604,3603,4455,6510,6550,6265,7119,6618,6118,4912,6328,5957,5867
"1971","K02623",111,84,231,114,163,200,785,897,986,1055,1093,284,242,250,209,244
"1972","K02624",606,597,1398,707,699,1065,2008,1911,2331,2310,2186,1306,1043,1260,971,1038
"1973","K02626",826,824,425,900,1012,397,285,272,349,297,303,1108,871,915,1078,1024
"1974","K02635",170,170,164,196,77,128,450,359,367,372,335,472,457,592,426,455
"1975","K02636",2562,2076,1052,2023,4002,1498,1807,1253,1777,1603,1423,1593,1240,1650,1268,1509
"1976","K02638",638,763,338,835,675,277,531,397,516,559,553,268,243,324,205,250
"1977","K02639",130,78,121,65,236,67,101,118,137,145,176,350,322,388,304,301
"1978","K02641",3,2,18,10,0,24,46,65,44,42,41,12,16,12,19,8
"1979","K02647",1239,767,1222,1074,2951,4061,1314,999,880,683,663,953,890,990,604,862
"1980","K02650",3333,2980,2027,2946,2737,4061,2689,2402,2272,2326,2320,3069,2914,2995,3084,2895
"1981","K02651",1190,914,813,1034,773,459,1190,951,1192,1106,1039,974,888,972,758,716
"1982","K02652",16812,14572,12899,16559,23226,18397,12397,10156,10180,10307,10861,22003,18982,20104,21172,18296
